ucsc,hgnc_symbol
uc057bcs.1,INTS11
uc057bct.1,INTS11
uc057bcu.1,INTS11
uc057bcv.1,INTS11
uc057bcw.1,INTS11
uc057bcx.1,INTS11
uc057bcy.1,INTS11
uc057bcz.1,INTS11
uc057bda.1,INTS11
uc057bdb.1,
uc057bdc.1,INTS11
uc057bdd.1,INTS11
uc057bde.1,INTS11
uc057bdf.1,INTS11
uc057bdg.1,INTS11
uc057bdh.1,INTS11
uc057bdi.1,INTS11
uc057bdj.1,INTS11
uc057bdk.1,INTS11
uc057bdl.1,INTS11
uc057bdn.1,INTS11
uc057bdo.1,CPTP
uc057bdp.1,CPTP
uc057bdq.1,DVL1
uc057bdr.1,DVL1
uc057bds.1,MXRA8
uc057bdt.1,MXRA8
uc057bdu.1,MXRA8
uc057bdv.1,MXRA8
uc057bdw.1,MXRA8
uc057bdx.1,MXRA8
uc057bdy.1,AURKAIP1
uc057bdz.1,AURKAIP1
uc057bea.1,CCNL2
uc057beb.1,CCNL2
uc057bec.1,CCNL2
uc057bed.1,CCNL2
uc057bee.1,CCNL2
uc057bef.1,CCNL2
uc057beg.1,CCNL2
uc057beh.1,CCNL2
uc057bei.1,CCNL2
uc057bej.1,CCNL2
uc057bek.1,CCNL2
uc057bel.1,CCNL2
uc057bem.1,CCNL2
uc057ben.1,CCNL2
uc057beo.1,CCNL2
uc057bep.1,CCNL2
uc057beq.1,CCNL2
uc057ber.1,MRPL20-AS1
uc057bes.1,MRPL20-AS1
uc057bet.1,MRPL20-AS1
uc057beu.1,MRPL20-AS1
uc057bev.1,MRPL20-AS1
uc057bew.1,MRPL20-AS1
uc057bex.1,MRPL20-AS1
uc057bey.1,MRPL20
uc057bez.1,MRPL20
uc057bfa.1,MRPL20
uc057bfb.1,RN7SL657P
uc057bfc.1,MRPL20
uc057bfd.1,
uc057bfe.1,ANKRD65
uc057bff.1,ANKRD65
uc057bfg.1,
uc057bfh.1,LINC01770
uc057bfi.1,LINC01770
uc057bfj.1,LINC01770
uc057bfk.1,LINC01770
uc057bfl.1,VWA1
uc057bfm.1,VWA1
uc057bfn.1,ATAD3C
uc057bfo.1,ATAD3C
uc057bfp.1,ATAD3B
uc057bfq.1,ATAD3B
uc057bfr.1,ATAD3B
uc057bfs.1,ATAD3A
uc057bft.1,ATAD3A
uc057bfu.1,ATAD3A
uc057bfv.1,ATAD3A
uc057bfw.1,TMEM240
uc057bfx.1,TMEM240
uc057bfy.1,SSU72
uc057bfz.1,SSU72
uc057bgc.1,
uc057bgd.1,MIB2
uc057bge.1,MIB2
uc057bgf.1,MIB2
uc057bgg.1,MIB2
uc057bgh.1,MIB2
uc057bgi.1,MIB2
uc057bgj.1,MIB2
uc057bgk.1,MIB2
uc057bgl.1,MIB2
uc057bgm.1,MIB2
uc057bgn.1,MIB2
uc057bgo.1,MIB2
uc057bgp.1,MIB2
uc057bgq.1,MIB2
uc057bgr.1,MIB2
uc057bgs.1,MIB2
uc057bgt.1,MIB2
uc057bgu.1,MIB2
uc057bgv.1,MIB2
uc057bgw.1,MIB2
uc057bgx.1,MIB2
uc057bgy.1,MIB2
uc057bgz.1,MIB2
uc057bha.1,MIB2
uc057bhb.1,MIB2
uc057bhc.1,MIB2
uc057bhd.1,MMP23B
uc057bhe.1,MMP23B
uc057bhh.1,MMP23B
uc057bhi.1,MMP23B
uc057bhj.1,MMP23B
uc057bhk.1,MMP23B
uc057bhl.1,MMP23B
uc057bhm.1,MMP23B
uc057bhn.1,CDK11B
uc057bho.1,CDK11B
uc057bhp.1,CDK11B
uc057bhr.1,CDK11B
uc057bhs.1,
uc057bht.1,SLC35E2B
uc057bhu.1,SLC35E2B
uc057bhv.1,SLC35E2B
uc057bhw.1,
uc057bhx.1,CDK11A
uc057bhy.1,CDK11A
uc001ahy.4,SLC35E2A
uc001aia.3,SLC35E2A
uc001aic.3,NADK
uc001aid.5,NADK
uc001aie.3,NADK
uc001aif.5,GNB1
uc001aih.1,CALML6
uc001aii.2,TMEM52
uc001aij.3,TMEM52
uc001ail.4,CFAP74
uc001aim.2,CFAP74
uc001ain.2,CFAP74
uc001aio.1,
uc001aip.3,GABRD
uc001aiq.3,PRKCZ
uc001air.4,PRKCZ
uc001aiy.4,FAAP20
uc001aja.5,SKI
uc001ajb.2,MORN1
uc001ajd.2,MORN1
uc001aje.3,RER1
uc001ajf.3,RER1
uc001ajg.4,PEX10
uc001ajh.4,PEX10
uc001ajj.2,PLCH2
uc001ajk.2,PLCH2
uc001ajl.2,PLCH2
uc001ajn.3,HES5
uc001ajo.3,TNFRSF14-AS1
uc001ajp.3,TNFRSF14-AS1
uc001ajq.3,TNFRSF14-AS1
uc001ajr.4,TNFRSF14
uc001aju.4,PRXL2B
uc001ajv.3,PRXL2B
uc001ajx.3,PRXL2B
uc001ajy.3,MMEL1
uc001ajz.4,ACTRT2
uc001aka.4,LINC00982
uc001ake.4,PRDM16
uc001akf.4,PRDM16
uc001akg.5,ARHGEF16
uc001aki.3,ARHGEF16
uc001akj.3,ARHGEF16
uc001akk.4,MEGF6
uc001akl.4,MEGF6
uc001akm.4,TPRG1L
uc001akn.4,WRAP73
uc001ako.4,WRAP73
uc001akp.4,TP73
uc001akr.3,TP73
uc001aks.4,TP73
uc001akt.5,TP73-AS1
uc001akv.3,CCDC27
uc001akw.6,SMIM1
uc001akx.2,LRRC47
uc001aky.3,CEP104
uc001alc.5,DFFB
uc001alf.4,C1orf174
uc001alg.4,LINC01134
uc001ali.3,LINC01346
uc001alj.3,LINC01777
uc001alm.2,AJAP1
uc001alo.5,AJAP1
uc001alq.3,NPHP4
uc001alr.2,NPHP4
uc001alu.4,KCNAB2
uc001alv.3,KCNAB2
uc001alw.3,KCNAB2
uc001alx.3,KCNAB2
uc001aly.3,KCNAB2
uc001amb.3,CHD5
uc001amd.4,RPL22
uc001amg.4,RNF207
uc001amh.4,RNF207
uc001amk.4,ICMT
uc001amp.2,GPR153
uc001amq.4,ACOT7
uc001amr.4,ACOT7
uc001ams.4,ACOT7
uc001amt.4,ACOT7
uc001amw.5,HES2
uc001amx.4,HES2
uc001amy.3,ESPN
uc001amz.4,ESPN
uc001ana.4,TNFRSF25
uc001ane.4,TNFRSF25
uc001anf.4,TNFRSF25
uc001ang.4,TNFRSF25
uc001anh.4,TNFRSF25
uc001ank.1,PLEKHG5
uc001anl.3,PLEKHG5
uc001anm.3,PLEKHG5
uc001ann.2,PLEKHG5
uc001ano.2,PLEKHG5
uc001anp.3,PLEKHG5
uc001anq.3,PLEKHG5
uc001ans.4,NOL9
uc001ant.4,TAS1R1
uc001anu.4,TAS1R1
uc009vkr.4,CDK11A
uc009vks.4,CDK11A
uc009vky.4,GNB1
uc009vlb.4,PRKCZ
uc009vld.4,MORN1
uc009vli.2,ARHGEF16
uc009vlj.4,TPRG1L
uc009vlk.3,TP73
uc009vll.4,TP73
uc009vlm.4,TP73-AS1
uc009vlv.3,KCNAB2
uc009vlw.3,KCNAB2
uc009vly.2,HES3
uc009vmb.3,PLEKHG5
uc010nyv.3,NADK
uc010nyw.3,PRKCZ
uc010nyy.3,MORN1
uc010nze.3,PRXL2B
uc010nzf.3,PRXL2B
uc010nzg.2,LINC00982
uc010nzk.3,TP73
uc010nzn.4,DFFB
uc010nzo.3,LINC01134
uc010nzr.1,PLEKHG5
uc021oev.2,TNFRSF14-AS1
uc021oew.2,PRXL2B
uc021ofa.2,MIR551A
uc021ofb.2,TP73
uc021ofd.2,TP73
uc021ofe.2,TP73
uc021off.2,TP73
uc021ofj.2,TP73-AS1
uc021ofm.1,MIR4417
uc021ofn.1,MIR4689
uc021ofo.1,MIR4252
uc031pkt.2,FAAP20
uc031pku.2,FAAP20
uc031plb.1,PLEKHG5
uc031tmu.1,GNB1
uc031tmv.2,FAAP20
uc031tmw.2,FAAP20
uc031tnm.2,LINC00337
uc057bhz.1,CDK11A
uc057bia.1,CDK11A
uc057bib.1,CDK11A
uc057bic.1,CDK11A
uc057bid.1,CDK11A
uc057bie.1,CDK11A
uc057bif.1,CDK11A
uc057big.1,CDK11A
uc057bih.1,CDK11A
uc057bii.1,CDK11A
uc057bij.1,CDK11A
uc057bik.1,CDK11A
uc057bil.1,CDK11A
uc057bim.1,CDK11A
uc057bin.1,CDK11A
uc057bio.1,CDK11A
uc057bip.1,CDK11A
uc057biq.1,CDK11A
uc057bir.1,CDK11A
uc057bis.1,SLC35E2A
uc057bit.1,NADK
uc057biu.1,NADK
uc057biv.1,NADK
uc057biw.1,NADK
uc057bix.1,NADK
uc057biy.1,NADK
uc057biz.1,NADK
uc057bja.1,NADK
uc057bjb.1,NADK
uc057bjc.1,NADK
uc057bjd.1,NADK
uc057bje.1,NADK
uc057bjf.1,NADK
uc057bjg.1,GNB1
uc057bjh.1,GNB1
uc057bji.1,GNB1
uc057bjj.1,GNB1
uc057bjk.1,GNB1
uc057bjl.1,GNB1
uc057bjm.1,GNB1
uc057bjn.1,
uc057bjo.1,CALML6
uc057bjp.1,CALML6
uc057bjq.1,CALML6
uc057bjr.1,TMEM52
uc057bjs.1,TMEM52
uc057bjt.1,TMEM52
uc057bju.1,TMEM52
uc057bjv.1,CFAP74
uc057bjw.1,CFAP74
uc057bjx.1,CFAP74
uc057bjy.1,CFAP74
uc057bjz.1,CFAP74
uc057bka.1,CFAP74
uc057bkb.1,
uc057bkc.1,
uc057bkd.1,PRKCZ
uc057bke.1,PRKCZ
uc057bkf.1,PRKCZ
uc057bkg.1,PRKCZ
uc057bkh.1,PRKCZ
uc057bki.1,PRKCZ
uc057bkj.1,PRKCZ
uc057bkk.1,PRKCZ
uc057bkl.1,PRKCZ
uc057bkm.1,PRKCZ
uc057bkn.1,PRKCZ
uc057bko.1,PRKCZ
uc057bkp.1,PRKCZ
uc057bkq.1,PRKCZ
uc057bkr.1,PRKCZ
uc057bks.1,PRKCZ
uc057bkt.1,PRKCZ
uc057bku.1,PRKCZ
uc057bkv.1,
uc057bkw.1,PRKCZ
uc057bkx.1,PRKCZ
uc057bky.1,PRKCZ
uc057bkz.1,PRKCZ
uc057bla.1,PRKCZ-AS1
uc057blb.1,PRKCZ-AS1
uc057blc.1,FAAP20
uc057bld.1,FAAP20
uc057ble.1,FAAP20
uc057blf.1,FAAP20
uc057blg.1,FAAP20
uc057blh.1,FAAP20
uc057bli.1,FAAP20
uc057blj.1,FAAP20
uc057blk.1,FAAP20
uc057bll.1,FAAP20
uc057blm.1,
uc057blo.1,SKI
uc057blp.1,SKI
uc057blq.1,SKI
uc057blr.1,
uc057bls.1,MORN1
uc057blt.1,
uc057blu.1,MORN1
uc057blv.1,MORN1
uc057blw.1,MORN1
uc057blx.1,MORN1
uc057bly.1,MORN1
uc057blz.1,MORN1
uc057bma.1,RER1
uc057bmb.1,RER1
uc057bmd.1,RER1
uc057bme.1,RER1
uc057bmf.1,RER1
uc057bmg.1,RER1
uc057bmh.1,RER1
uc057bmi.1,PEX10
uc057bmj.1,PEX10
uc057bmk.1,PEX10
uc057bml.1,PEX10
uc057bmm.1,PEX10
uc057bmn.1,PEX10
uc057bmo.1,PLCH2
uc057bmp.1,PLCH2
uc057bmq.1,PLCH2
uc057bmr.1,PLCH2
uc057bms.1,
uc057bmt.1,
uc057bmu.1,PLCH2
uc057bmv.1,PANK4
uc057bmw.1,PANK4
uc057bmx.1,PANK4
uc057bmy.1,PANK4
uc057bmz.1,PANK4
uc057bna.1,PANK4
uc057bnb.1,PANK4
uc057bnd.1,PANK4
uc057bne.1,PANK4
uc057bnf.1,
uc057bng.1,TNFRSF14-AS1
uc057bnh.1,TNFRSF14-AS1
uc057bni.1,TNFRSF14
uc057bnj.1,TNFRSF14
uc057bnk.1,TNFRSF14
uc057bnl.1,TNFRSF14
uc057bnm.1,TNFRSF14
uc057bnn.1,TNFRSF14
uc057bno.1,TNFRSF14
uc057bnp.1,TNFRSF14
uc057bnq.1,TNFRSF14
uc057bnr.1,TNFRSF14
uc057bns.1,TNFRSF14
uc057bnt.1,TNFRSF14
uc057bnu.1,TNFRSF14
uc057bnv.1,TNFRSF14
uc057bnw.1,TNFRSF14
uc057bnx.1,
uc057bny.1,
uc057bnz.1,PRXL2B
uc057boa.1,PRXL2B
uc057bob.1,PRXL2B
uc057boc.1,PRXL2B
uc057bod.1,PRXL2B
uc057boe.1,PRXL2B
uc057bof.1,PRXL2B
uc057bog.1,PRXL2B
uc057boh.1,PRXL2B
uc057boi.1,MMEL1
uc057boj.1,MMEL1
uc057bok.1,MMEL1
uc057bol.1,MMEL1
uc057bom.1,MMEL1
uc057bon.1,MMEL1
uc057boo.1,MMEL1
uc057bop.1,MMEL1
uc057boq.1,
uc057bot.1,
uc057bou.1,
uc057bov.1,LINC00982
uc057bow.1,LINC00982
uc057box.1,LINC00982
uc057boy.1,LINC00982
uc057boz.1,LINC00982
uc057bpa.1,PRDM16
uc057bpb.1,PRDM16
uc057bpc.1,PRDM16
uc057bpd.1,
uc057bpe.1,
uc057bpf.1,PRDM16
uc057bpg.1,PRDM16
uc057bph.1,
uc057bpi.1,PRDM16
uc057bpj.1,PRDM16
uc057bpk.1,PRDM16
uc057bpl.1,ARHGEF16
uc057bpm.1,ARHGEF16
uc057bpn.1,ARHGEF16
uc057bpo.1,
uc057bpp.1,MEGF6
uc057bpq.1,MEGF6
uc057bpr.1,MEGF6
uc057bps.1,MEGF6
uc057bpt.1,MEGF6
uc057bpu.1,
uc057bpv.1,WRAP73
uc057bpw.1,WRAP73
uc057bpx.1,WRAP73
uc057bpy.1,WRAP73
uc057bpz.1,WRAP73
uc057bqa.1,WRAP73
uc057bqb.1,WRAP73
uc057bqc.1,WRAP73
uc057bqd.1,
uc057bqe.1,TP73
uc057bqf.1,TP73
uc057bqg.1,TP73
uc057bqh.1,
uc057bqi.1,TP73
uc057bqj.1,TP73-AS1
uc057bqk.1,TP73-AS1
uc057bql.1,
uc057bqm.1,TP73-AS1
uc057bqn.1,TP73-AS1
uc057bqo.1,TP73-AS1
uc057bqp.1,CCDC27
uc057bqq.1,SMIM1
uc057bqr.1,SMIM1
uc057bqs.1,LRRC47
uc057bqt.1,LRRC47
uc057bqu.1,RN7SL574P
uc057bqv.1,
uc057bqw.1,CEP104
uc057bqx.1,CEP104
uc057bqy.1,CEP104
uc057bqz.1,CEP104
uc057bra.1,CEP104
uc057brb.1,CEP104
uc057brc.1,CEP104
uc057brd.1,CEP104
uc057bre.1,CEP104
uc057brf.1,CEP104
uc057brg.1,DFFB
uc057brh.1,DFFB
uc057bri.1,DFFB
uc057brj.1,DFFB
uc057brk.1,DFFB
uc057brl.1,DFFB
uc057brm.1,DFFB
uc057brn.1,DFFB
uc057bro.1,DFFB
uc057brp.1,DFFB
uc057brq.1,C1orf174
uc057brr.1,C1orf174
uc057brs.1,LINC01134
uc057brt.1,LINC01346
uc057bru.1,LINC01345
uc057brv.1,
uc057brw.1,LINC01646
uc057brx.1,AJAP1
uc057brz.1,
uc057bsa.1,
uc057bsb.1,
uc057bsc.1,NPHP4
uc057bsd.1,NPHP4
uc057bse.1,NPHP4
uc057bsf.1,NPHP4
uc057bsg.1,NPHP4
uc057bsh.1,NPHP4
uc057bsi.1,NPHP4
uc057bsj.1,NPHP4
uc057bsk.1,NPHP4
uc057bsm.1,KCNAB2
uc057bsn.1,KCNAB2
uc057bso.1,KCNAB2
uc057bsp.1,KCNAB2
uc057bsq.1,KCNAB2
uc057bsr.1,KCNAB2
uc057bss.1,KCNAB2
uc057bst.1,KCNAB2
uc057bsu.1,KCNAB2
uc057bsv.1,KCNAB2
uc057bsw.1,KCNAB2
uc057bsx.1,KCNAB2
uc057bsy.1,CHD5
uc057bsz.1,CHD5
uc057bta.1,CHD5
uc057btb.1,CHD5
uc057btc.1,CHD5
uc057btd.1,
uc057bte.1,RPL22
uc057btf.1,RPL22
uc057btg.1,RPL22
uc057bth.1,RPL22
uc057bti.1,RPL22
uc057btj.1,RPL22
uc057btk.1,
uc057btl.1,RNF207
uc057btm.1,RNF207
uc057btn.1,RNF207
uc057bto.1,RNF207
uc057btp.1,RNF207
uc057btq.1,RNF207
uc057btr.1,RNF207
uc057bts.1,ICMT
uc057btt.1,ICMT
uc057btu.1,ICMT
uc057btv.1,LINC00337
uc057btw.1,ACOT7
uc057btx.1,ACOT7
uc057bty.1,ACOT7
uc057btz.1,ACOT7
uc057bua.1,ACOT7
uc057bub.1,ACOT7
uc057buc.1,
uc057bud.1,HES2
uc057bue.1,HES2
uc057buf.1,HES2
uc057bug.1,HES2
uc057buh.1,ESPN
uc057bui.1,
uc057buj.1,ESPN
uc057bul.1,ESPN
uc057bun.1,ESPN
uc057bup.1,ESPN
uc057buq.1,TNFRSF25
uc057bur.1,TNFRSF25
uc057bus.1,TNFRSF25
uc057but.1,TNFRSF25
uc057buu.1,TNFRSF25
uc057buv.1,TNFRSF25
uc057buw.1,TNFRSF25
uc057bux.1,TNFRSF25
uc057buy.1,TNFRSF25
uc057buz.1,TNFRSF25
uc057bva.1,TNFRSF25
uc057bvb.1,TNFRSF25
uc057bvc.1,TNFRSF25
uc057bvd.1,TNFRSF25
uc057bve.1,TNFRSF25
uc057bvf.1,PLEKHG5
uc057bvg.1,PLEKHG5
uc057bvh.1,NOL9
uc057bvi.1,NOL9
uc057bvj.1,RNU6-731P
uc057bvk.1,NOL9
uc057bvl.1,NOL9
uc057bvn.1,TAS1R1
uc057bvo.1,TAS1R1
uc001anx.5,ZBTB48
uc001any.3,ZBTB48
uc001anz.2,KLHL21
uc001aoa.3,KLHL21
uc001aob.5,PHF13
uc001aoc.4,THAP3
uc001aod.4,THAP3
uc001aoe.3,THAP3
uc001aof.3,DNAJC11
uc001aog.3,DNAJC11
uc001aoh.4,CAMTA1
uc001aoi.3,CAMTA1
uc001aol.3,VAMP3
uc001aon.3,PER3
uc001aop.5,PER3
uc001aor.4,UTS2
uc001aos.4,UTS2
uc001aot.4,TNFRSF9
uc001aou.5,PARK7
uc001aov.5,PARK7
uc001aox.5,PARK7
uc001aoz.4,ERRFI1
uc001apb.3,SLC45A1
uc001apd.4,RERE
uc001ape.4,RERE
uc001apf.4,RERE
uc001aph.2,RERE
uc001apj.3,ENO1
uc001apm.5,CA6
uc001apo.4,SLC2A5
uc001app.5,SLC2A5
uc001apq.2,GPR157
uc001apt.4,H6PD
uc001apv.4,SPSB1
uc001apw.4,SLC25A33
uc001apy.4,TMEM201
uc001aqb.5,PIK3CD
uc001aqc.5,PIK3CD-AS1
uc001aqe.5,PIK3CD
uc001aqh.4,CLSTN1
uc001aqi.4,CLSTN1
uc001aqk.2,CTNNBIP1
uc001aql.2,CTNNBIP1
uc001aqm.4,LZIC
